Kanji,Furigana,Meaning,Level
寝台,しんだい,"bed,couch",N2
診断,しんだん,diagnosis,N2
侵入,しんにゅう,"penetration,invasion,raid,aggression,trespass",N2
人文科学,じんぶんかがく,"social sciences,humanities",N2
人命,じんめい,(human) life,N2
深夜,しんや,late at night,N2
森林,しんりん,"forest,woods",N2
親類,しんるい,"relation,kin",N2
針路,しんろ,"course,direction,compass bearing",N2
神話,しんわ,"myth,legend",N2
酢,す,vinegar,N2
水産,すいさん,"marine products,fisheries",N2
炊事,すいじ,"cooking,culinary arts",N2
水蒸気,すいじょうき,"water vapour,steam",N2
水素,すいそ,hydrogen,N2
垂直,すいちょく,"vertical,perpendicular",N2
推定,すいてい,"presumption,assumption,estimation",N2
水滴,すいてき,drop of water,N2
水筒,すいとう,"canteen,flask,water bottle",N2
随筆,ずいひつ,"essays,miscellaneous writings",N2
水分,すいぶん,moisture,N2
水平,すいへい,"water level,horizon",N2
水平線,すいへいせん,horizon,N2
水曜,すいよう,Wednesday,N2
,ずうずうしい,"impudent,shameless",N2
,ずうっと,,N2
末っ子,すえっこ,youngest child,N2
,スカーフ,scarf,N2
図鑑,ずかん,picture book,N2
杉,すぎ,Japanese cedar,N2
好き嫌い,すききらい,"likes and dislikes,taste",N2
好き好き,すきずき,matter of taste,N2
透き通る,すきとおる,to be(come) transparent,N2
隙間,すきま,"crevice,crack,gap,opening",N2
,スクール,school,N2
,すくなくとも,at least,N2
図形,ずけい,figure,N2
,スケジュール,schedule,N2
鈴,すず,bell,N2
涼む,すずむ,"to cool oneself,to cool off,to enjoy evening cool",N2
,スタート,start,N2
,スチュワーデス,stewardess,N2
,すっきり,"shapely,clear,neat",N2
,すっぱい,"sour,acid",N2
,ステージ,"(1) stage,(2) performance",N2
棄てる,すてる,,N2
,ストッキング,stockings,N2
,ストップ,stop,N2
素直,すなお,"obedient,meek,docile,unaffected",N2
頭脳,ずのう,"head,brains,intellect",N2
,スピーカー,speaker,N2
図表,ずひょう,"chart,diagram,graph",N2
,スマート,"smart,stylish,slim",N2
住まい,すまい,"dwelling,house,residence,address",N2
,すまない,sorry (phrase),N2
墨,すみ,ink,N2
澄む,すむ,"to clear (e.g. weather),to become transparent",N2
清む,すむ,,N2
相撲,すもう,sumo wrestling,N2
,スライド,slide,N2
,ずらす,"to put off,to delay",N2
,ずらり,,N2
掏摸,すり,pickpocket,N2
刷る,する,to print,N2
狡い,ずるい,"sly,cunning",N2
,すれちがう,"to pass by one another,to disagree",N2
滑れる,ずれる,,N2
寸法,すんぽう,"measurement,size,dimension",N2
姓,せい,"surname,family name",N2
税関,ぜいかん,customs house,N2
製作,せいさく,"manufacture,production",N2
制作,せいさく,"work (film, book)",N2
性質,せいしつ,"nature,property,disposition",N2
清書,せいしょ,clean copy,N2
青少年,せいしょうねん,"youth,young person",N2
整数,せいすう,integer,N2
清掃,せいそう,cleaning,N2
生存,せいぞん,"existence,being,survival",N2
生長,せいちょう,"growth,increment",N2
政党,せいとう,(member of) political party,N2
生年月日,せいねんがっぴ,birth date,N2
性能,せいのう,"ability,efficiency",N2
整備,せいび,"adjustment,completion,consolidation",N2
成分,せいぶん,"ingredient,component,composition",N2
性別,せいべつ,"distinction by sex,sex,gender",N2
正方形,せいほうけい,square,N2
正門,せいもん,"main gate,main entrance",N2
成立,せいりつ,"coming into existence,arrangements,establishment,completion",N2
西暦,せいれき,"Christian Era,anno domini (A.D.)",N2
背負う,せおう,"to be burdened with,to carry on back or shoulder",N2
赤道,せきどう,equator,N2
折角,せっかく,"with trouble,at great pains,long-awaited",N2
接近,せっきん,"getting closer,drawing nearer,approaching",N2
石鹸,せっけん,soap,N2
接する,せっする,"to come in contact with,to connect,to attend,to receive",N2
,せっせと,,N2
接続,せつぞく,"(1) connection,union,join,link,(2) changing trains",N2
瀬戸物,せともの,"earthenware,crockery,china",N2
,ぜひとも,by all means (with sense of not taking no for an answer),N2
迫る,せまる,"to draw near,to press",N2
,ゼミ,(n) seminar,N2
,せめて,"offense,method of attack",N2
攻める,せめる,"to attack,to assault",N2
,セメント,cement,N2
栓,せん,"stopper,cork,stopcock",N2
前後,ぜんご,"around,throughout,front and back,before and behind,before and after",N2
洗剤,せんざい,"detergent,washing material",N2
全集,ぜんしゅう,complete works,N2
全身,ぜんしん,"the whole body,full-length (portrait)",N2
扇子,せんす,folding fan,N2
専制,せんせい,"despotism,autocracy",N2
先々月,せんせんげつ,month before last,N2
先々週,せんせんしゅう,,N2
先祖,せんぞ,ancestor,N2
先端,せんたん,"pointed end,tip,fine point",N2
,センチ,"centimeter,centi-,10^-2",N2
宣伝,せんでん,"propaganda,publicity",N2
先頭,せんとう,"head,lead,vanguard,first",N2
全般,ぜんぱん,"(the) whole,universal,wholly,general",N2
扇風機,せんぷうき,electric fan,N2
線路,せんろ,"line,track,roadbed",N2
相違,そうい,"difference,discrepancy,variation",N2
,そういえば,which reminds me ..,N2
雑巾,ぞうきん,"house-cloth,dust cloth",N2
増減,ぞうげん,"increase and decrease,fluctuation",N2
倉庫,そうこ,"storehouse,warehouse,godown",N2
相互,そうご,"mutual,reciprocal",N2
創作,そうさく,"production,literary creation,work",N2
葬式,そうしき,funeral,N2
,そうして,"and,like that",N2
造船,ぞうせん,shipbuilding,N2
騒々しい,そうぞうしい,"noisy,boisterous",N2
増大,ぞうだい,enlargement,N2
,そうっと,,N2
送別,そうべつ,"farewell,send-off",N2
草履,ぞうり,"zoori (Japanese footwear),sandals",N2
総理大臣,そうりだいじん,Prime Minister,N2
送料,そうりょう,"postage,carriage",N2
属する,ぞくする,"to belong to,to come under,to be affiliated with,to be subject to",N2
続々,ぞくぞく,"successively,one after another",N2
速達,そくたつ,"express,special delivery",N2
測定,そくてい,measurement,N2
測量,そくりょう,"measurement,surveying",N2
速力,そくりょく,speed,N2
素質,そしつ,"character,qualities,genius",N2
祖先,そせん,ancestor,N2
,そそっかしい,"careless,thoughtless",N2
卒直,そっちょく,"frankness,candour,openheartedness",N2
具える,そなえる,to be furnished with,N2
,そのうえ,"in addition,furthermore",N2
,そのころ,,N2
,そのため,"hence,for that reason",N2
,そのほか,otherwise,N2
蕎麦,そば,soba (buckwheat noodles),N2
剃る,そる,to shave,N2
,それなのに,,N2
逸れる,それる,"to stray (turn) from subject,to get lost,to go astray",N2
揃う,そろう,"to become complete,to be equal,to be all present,to gather",N2
揃える,そろえる,"to put things in order,to arrange,to make uniform,to get something ready",N2
算盤,そろばん,abacus,N2
存じる,ぞんじる,(hum) to know,N2
存ずる,ぞんずる,,N2
損得,そんとく,"loss and gain,advantage and disadvantage",N2
田ぼ,たんぼ,"paddy field,farm",N2
だいいち,（副）,"first,foremost,# 1",N2
退院,たいいん,leaving hospital,N2
大学院,だいがくいん,graduate school,N2
大工,だいく,carpenter,N2
体系,たいけい,"system,organization",N2
太鼓,たいこ,"drum,tambourine",N2
対策,たいさく,"counter-plan,counter-measure",N2
大して,たいして,"(not so) much,(not) very",N2
対照,たいしょう,"contrast,antithesis,comparison",N2
大小,だいしょう,size,N2
体制,たいせい,"order,system,structure,set-up,organization",N2
体積,たいせき,"capacity,volume",N2
大層,たいそう,"very much,exaggerated,very fine",N2
体操,たいそう,"gymnastics,physical exercises,calisthenics",N2
大分,だいぶん,"considerably,greatly,a lot",N2
大木,たいぼく,large tree,N2
題名,だいめい,title,N2
代名詞,だいめいし,pronoun,N2
,あっ,"Ah!,Oh!",N3
愛,あい,love,N3
挨拶,あいさつ,"greeting,salutation",N3
愛情,あいじょう,"love,affection",N3
合図,あいず,"sign,signal",N3
,アイスクリーム,ice cream,N3
愛する,あいする,to love,N3
相手,あいて,"companion,partner,company",N3
,あいにく,"unfortunately,Sorry, but....",N3
,アイロン,(electric) iron,N3
,アウト,out,N3
明かり,あかり,"lamplight,light (in general),brightness",N3
空き,あき,"room,time to spare,emptiness",N3
明らか,あきらか,"obvious,evident,clear",N3
諦める,あきらめる,"to give up,to abandon",N3
飽きる,あきる,"to get tired of,to lose interest in,to have enough",N3
握手,あくしゅ,handshake,N3
悪魔,あくま,"devil,demon,evil spirit",N3
明ける,あける,"to dawn,to become daylight",N3
,あした,tomorrow,N3
預ける,あずける,"to give into custody,to entrust,to deposit",N3
汗,あせ,"sweat,perspiration",N3
与える,あたえる,"to give,to present,to award",N3
暖かい,あたたか(い),"warm,mild",N3
辺り,あたり,"vicinity,nearby",N3
当たる,あたる,"to be hit,to be successful,to be equivalent to",N3
,あちこち,here and there,N3
扱う,あつかう,"to handle,to deal with,to treat",N3
集まり,あつまり,"gathering,meeting,assembly,collection",N3
当てる,あてる,"to hit,to apply a patch",N3
跡,あと,"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar",N3
,あと,"(1) trace,tracks,(2) remains,ruins,(3) scar",N3
穴,あな,hole,N3
浴びる,あびる,"to bathe,to bask in the sun,to shower",N3
油,あぶら,oil,N3
余り,あまり,"not very (used as adverb),not much",N3
誤り,あやまり,error,N3
粗,あら,"defect,flaw,blemish,weak point",N3
嵐,あらし,"storm,tempest",N3
新た,あらた,"new,fresh,novel",N3
,あらゆる,"all,every",N3
表す,あらわす,"to express,to show,to reveal",N3
現す,あらわす,"to show,to indicate,to display",N3
現れ,あらわれ,"embodiment,materialization",N3
現れる,あらわれる,"(1) to appear,to come in sight,to become visible,(2) to express oneself",N3
,ありがとう,"(conj,exp,int) Thank you",N3
有る,ある,"to be,to have",N3
或,ある,"a certain...,some...",N3
,あるいは,"or,possibly",N3
,アルバム,album,N3
泡,あわ,"bubble,foam,froth,head on beer",N3
合わせる,あわせる,"to join together,to be opposite,to face,to unite",N3
哀れ,あわれ,"helpless,pity,sorrow,grief",N3
案,あん,"plan,suffix meaning draft",N3
暗記,あんき,"memorization,learning by heart",N3
安定,あんてい,"stability,equilibrium",N3
案内,あんない,"information,guidance,leading",N3
,あんなに,"to that extent,to that degree",N3
,あんまり,"not very,not much,remainder,rest",N3
胃,い,stomach,N3
,いい,good,N3
,よい,"good,nice,pleasant,ok",N3
いえ,いえ,TODO same as いいえ?,N3
委員,いいん,committee member,N3
言う,ゆう,to say,N3
意外,いがい,"unexpected,surprising",N3
行き,いき,going,N3
行き,ゆき,going,N3
息,いき,"breath,tone",N3
勢い,いきおい,"force,vigor,energy,spirit",N3
生き物,いきもの,"living thing,animal",N3
幾つ,いくつ,"how many?,how old?",N3
幾ら,いくら,"how much?,how many?",N3
,いけない,"must not do,bad,wrong,not good",N3
医師,いし,"doctor,physician",N3
意思,いし,"intention,purpose",N3
意志,いし,"will,volition",N3
維持,いじ,"maintenance,preservation",N3
意識,いしき,"consciousness,senses",N3
異常,いじょう,"strangeness,abnormality,disorder",N3
椅子,いす,chair,N3
泉,いずみ,"spring,fountain",N3
,いずれ,"where,which,who",N3
以前,いぜん,"ago,since,before,previous",N3
板,いた,"board,plank",N3
偉大,いだい,greatness,N3
抱く,いだく,"(sl) to embrace,to hug,to harbour,to entertain",N3
,いたずら,"tease,prank,trick,practical joke",N3
,いただきます,expression of gratitude before meals,N3
頂く,いただく,"to receive,to take food or drink (hum)",N3
痛み,いたみ,"pain,ache,sore,grief,distress",N3
至る,いたる,"to come,to arrive",N3
,いち,"market,fair",N3
位置,いち,"place,situation,position,location",N3
一時,いちじ,"moment,time",N3
一度に,いちどに,all at once,N3
市場,いちば,(the) market (as a concept),N3
一番,いちばん,"best,first,number one",N3
,いつか,"sometime,someday,one day",N3
一家,いっか,"a house,a home,a family,a household",N3
一種,いっしゅ,"a species,a kind,a variety",N3
一瞬,いっしゅん,"a moment,an instant",N3
一生,いっしょう,"whole life,a lifetime,all through life",N3
一層,いっそう,"much more,still more,all the more",N3
一体,いったい,"(1) one object,one body,(2) what on earth?,really?,(3) generally",N3
一致,いっち,"(1) coincidence,agreement,(2) conformity",N3
,いつでも,"(at) any time,always,at all times,never (neg)",N3
一般,いっぱん,"general,liberal,universal,ordinary,average",N3
一方,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",N3
,いつまでも,"forever,for good,eternally,as long as one likes,indefinitely",N3
いつも,いつも,"always,usually,every time,never (with neg. verb)",N3
移動,いどう,"removal,migration,movement",N3
従兄弟,いとこ,cousin (male),N3
稲,いね,rice-plant,N3
居眠り,いねむり,"dozing,nodding off",N3
命,いのち,"command,decree,life,destiny",N3
違反,いはん,"violation (of law),transgression,infringement,breach",N3
衣服,いふく,clothes,N3
居間,いま,living room (western style),N3
今に,いまに,"before long,even now",N3
今にも,いまにも,"at any time,soon",N3
否,いや,"no,the noes",N3
以来,いらい,"since,henceforth",N3
依頼,いらい,"(1) request,commission,dispatch,(2) dependence,trust",N3
,いらいら,"getting nervous,irritation",N3
,いらっしゃい,welcome,N3
医療,いりょう,"medical care,medical treatment",N3
岩,いわ,"rock,crag",N3
祝い,いわい,"celebration,festival",N3
祝う,いわう,"to congratulate,to celebrate",N3
言わば,いわば,so to speak,N3
,いわゆる,"the so-called,so to speak",N3
,インク,ink,N3
印刷,いんさつ,printing,N3
印象,いんしょう,impression,N3
引退,いんたい,retire,N3
引用,いんよう,"quotation,citation",N3
,ウイスキー,whisky,N3
上,うわ,"upper,outer,surface",N3
魚,うお,fish,N3
,うがい,"gargle,rinse mouth",N3
伺う,うかがう,"(hon) to visit,to ask,to inquire",N3
受け取る,うけとる,"to receive,to get,to accept,to take",N3
動かす,うごかす,"to move,to shift",N3
兎,うさぎ,"rabbit,hare,cony",N3
牛,うし,"cattle,cow",N3
失う,うしなう,"to lose,to part with",N3
後,うしろ,"afterwards,since then,in the future",N3
嘘,うそ,"lie,falsehood,incorrect fact,inappropriate",N3
疑う,うたがう,"to doubt,to distrust,to be suspicious of,to suspect",N3
内,うち,inside,N3
宇宙,うちゅう,"universe,cosmos,space",N3
撃つ,うつ,"to attack,to defeat,to destroy",N3
移す,うつす,"to remove,to transfer,to infect",N3
訴える,うったえる,"to sue (a person),to resort to,to appeal to",N3
,うなる,"to groan,to moan",N3
奪う,うばう,to snatch away,N3
馬,うま,"(1) horse,(2) promoted bishop (shogi)",N3
うまい,うまい,delicious,N3
生まれ,うまれ,"birth,birth-place",N3
梅,うめ,"plum,plum-tree,lowest (of a three-tier ranking system)",N3
裏切る,うらぎる,"to betray,to turn traitor to,to double-cross",N3
,うるさい,"noisy,loud,fussy",N3
嬉しい,うれしい,"happy,glad,pleasant",N3
売れる,うれる,to be sold,N3
噂,うわさ,"rumour,report,gossip,common talk",N3
うん,（感）,"fortune,luck",N3
運,うん,"fortune,luck",N3
運転,うんてん,"operation,motion,driving",N3
運動,うんどう,"motion,exercise",N3
柄,え,"handle,grip",N3
永遠,えいえん,"eternity,perpetuity,immortality,permanence",N3
永久,えいきゅう,"eternity,perpetuity,immortality",N3
影響,えいきょう,"influence,effect",N3
営業,えいぎょう,"business,trade,management",N3
衛星,えいせい,satellite,N3
栄養,えいよう,"nutrition,nourishment",N3
笑顔,えがお,smiling face,N3
描く,えがく,"to draw,to paint,to sketch,to depict,to describe",N3
餌,えさ,"feed,bait",N3
,エネルギー,(n) energy (de: Energie),N3
得る,える,"to get,to gain,to win",N3
得る,うる,"to get,to gain,to win",N3
円,えん,"circle,money",N3
延期,えんき,"postponement,adjournment",N3
演技,えんぎ,"acting,performance",N3
援助,えんじょ,"assistance,aid,support",N3
,エンジン,engine,N3
演説,えんぜつ,"speech,address",N3
演奏,えんそう,musical performance,N3
遠慮,えんりょ,"diffidence,restraint,reserve",N3
御,お,honourable,N3
老い,おい,"old age,old person,the old,the aged",N3
追い付く,おいつく,"to overtake,to catch up (with)",N3
王,おう,"king,ruler,sovereign,monarch",N3
追う,おう,"to chase,to run after",N3
王様,おうさま,king,N3
王子,おうじ,prince,N3
応じる,おうじる,"to respond,to satisfy,to accept,to comply with,to apply for",N3
横断,おうだん,crossing,N3
終える,おえる,to finish,N3
大いに,おおいに,"very,much,greatly",N3
覆う,おおう,"to cover,to hide,to conceal,to wrap,to disguise",N3
,オーバー,"(1) overcoat,(2) over",N3
大家,おおや,"rich family,distinguished family",N3
丘,おか,"hill,height,knoll,rising ground",N3
沖,おき,open sea,N3
奥,おく,"interior,inner part",N3
贈る,おくる,"to send,to give to,to award to,to confer on",N3
起こる,おこる,"to occur,to happen",N3
幼い,おさない,"very young,childish",N3
収める,おさめる,"to obtain,to reap,to pay,to supply,to accept",N3
,おじいさん,"grandfather,male senior-citizen",N3
,おしゃべり,"chattering,talk,idle talk",N3
汚染,おせん,"pollution,contamination",N3
,おそらく,perhaps,N3
恐れる,おそれる,"to fear,to be afraid of",N3
恐ろしい,おそろしい,"terrible,dreadful",N3
お互い,おたがい,"mutual,reciprocal,each other",N3
穏やか,おだやか,"calm,gentle,quiet",N3
男の人,おとこのひと,man,N3
劣る,おとる,"to fall behind,to be inferior to",N3
お腹,おなか,stomach,N3
鬼,おに,"ogre,demon,it (i.e., in a game of tag)",N3
帯,おび,"band (e.g. conduction, valence)",N3
お昼,おひる,"lunch,noon",N3
,オフィス,office,N3
溺れる,おぼれる,"to be drowned,to indulge in",N3
,おまえ,"(fam) you (sing),presence (of a high personage)",N3
,おめでとう,"Congratulations!,an auspicious occasion!",N3
お目に掛かる,おめにかかる,,N3
思い出,おもいで,"memories,recollections,reminiscence",N3
主に,おもに,"mainly,primarily",N3
思わず,おもわず,"unintentional,spontaneous",N3
,おや,parents,N3
泳ぎ,およぎ,swimming,N3
,およそ,"about,roughly,as a rule,approximately",N3
及ぼす,およぼす,"to exert,to cause,to exercise",N3
居る,おる,"to be (animate),to be,to exist",N3
下す,おろす,"to lower,to let go down",N3
降ろす,おろす,"to take down,to launch,to drop",N3
終,おわり,the end,N3
音,おん,"sound,note",N3
恩,おん,"favour,obligation,debt of gratitude",N3
温暖,おんだん,warmth,N3
温度,おんど,temperature,N3
可,か,passable,N3
課,か,counter for chapters (of a book),N3
,カー,car,N3
,カード,"card,curd",N3
会,かい,"meeting,assembly,party,association,club",N3
回,かい,counter for occurrences,N3
害,がい,"injury,harm,evil influence,damage",N3
会員,かいいん,"member,the membership",N3
絵画,かいが,picture,N3
海外,かいがい,"foreign,abroad,overseas",N3
会計,かいけい,"account,finance,accountant",N3
解決,かいけつ,"settlement,solution,resolution",N3
会合,かいごう,"meeting,assembly",N3
外交,がいこう,diplomacy,N3
開始,かいし,"start,commencement,beginning",N3
解釈,かいしゃく,"explanation,interpretation",N3
外出,がいしゅつ,"outing,going out",N3
改善,かいぜん,"betterment,improvement",N3
快適,かいてき,"pleasant,agreeable,comfortable",N3
回復,かいふく,"recovery (from illness),improvement,rehabilitation,restoration",N3
飼う,かう,"to keep,to raise,to feed",N3
替える,かえる,"to exchange,to interchange,to substitute,to replace",N3
換える,かえる,"to exchange,to interchange,to substitute,to replace",N3
香り,かおり,"aroma,fragrance,scent,smell",N3
画家,がか,"painter,artist",N3
抱える,かかえる,to hold or carry under or in the arms,N3
価格,かかく,"price,value,cost",N3
化学,かがく,chemistry,N3
輝く,かがやく,"to shine,to glitter,to sparkle",N3
係,かかり,"official,duty,person in charge",N3
掛かる,かかる,"to take (e.g. time, money, etc),to hang",N3
罹る,かかる,to suffer from,N3
鍵,かぎ,key,N3
限る,かぎる,"to restrict,to limit,to confine",N3
描く,かく,"to draw,to paint,to sketch,to depict,to describe",N3
家具,かぐ,furniture,N3
学,がく,"learning,scholarship,erudition,knowledge",N3
額,がく,"forehead,brow",N3
覚悟,かくご,"resolution,resignation,readiness,preparedness",N3
確実,かくじつ,"certainty,reliability,soundness",N3
学者,がくしゃ,scholar,N3
学習,がくしゅう,"study,learning",N3
隠す,かくす,"to hide,to conceal",N3
拡大,かくだい,"magnification,enlargement",N3
確認,かくにん,"affirmation,confirmation",N3
学問,がくもん,"scholarship,study,learning",N3
隠れる,かくれる,"to hide,to be hidden,to conceal oneself,to disappear",N3
影,かげ,"shade,shadow,other side",N3
陰,かげ,"shade,shadow,other side",N3
欠ける,かける,to be lacking,N3
加減,かげん,"addition and subtraction,allowance for",N3
過去,かこ,"the past,bygone days,the previous",N3
籠,かご,"basket,cage",N3
囲む,かこむ,"to surround,to encircle",N3
火災,かさい,"conflagration,fire",N3
貸し,かし,"loan,lending",N3
菓子,かし,pastry,N3
家事,かじ,"housework,domestic chores",N3
賢い,かしこい,"wise,clever,smart",N3
歌手,かしゅ,singer,N3
数,かず,"number,figure",N3
稼ぐ,かせぐ,"to earn income,to labor",N3
数える,かぞえる,to count,N3
型,かた,"mold,model,style,shape,data-type",N3
肩,かた,shoulder,N3
硬い,かたい,"solid,hard (esp. metal, stone),unpolished writing",N3
方々,かたがた,"persons,this and that,here and there,everywhere",N3
刀,かたな,"sword,saber,knife,engraving tool",N3
語る,かたる,"to talk,to tell,to recite",N3
勝ち,かち,"win,victory",N3
価値,かち,"value,worth,merit",N3
,がっかり,"feel disappointed,be dejected,lose heart",N3
活気,かっき,"energy,liveliness",N3
学期,がっき,term (school),N3
格好,かっこう,"shape,form,posture,suitability",N3
活動,かつどう,"action,activity",N3
活用,かつよう,"conjugation,practical use",N3
悲しむ,かなしむ,"to be sad,to mourn for,to regret",N3
必ずしも,かならずしも,"(not) always,(not) necessarily,(not) all,(not) entirely",N3
,かなり,"considerably,fairly,quite",N3
金,かね,"(1) gold,(2) gold general (shogi) (abbr)",N3
金持ち,かねもち,rich man,N3
可能,かのう,"possible,practicable,feasible",N3
株,かぶ,"share,stock,stump (of tree)",N3
被る,かぶる,to suffer,N3
構う,かまう,"to mind,to care about,to be concerned about",N3
我慢,がまん,"patience,endurance,perseverance",N3
上,かみ,"(1) first volume,(2) superior quality,(3) governmental",N3
神,かみ,god,N3
雷,かみなり,thunder,N3
髪の毛,かみのけ,hair (head),N3
科目,かもく,"(school) subject,curriculum,course",N3
,かもしれない,"may,might,perhaps,may be,possibly",N3
火曜,かよう,(abbr) Tuesday,N3
空,から,sky,N3
柄,がら,"hilt (of a sword),haft (of a dagger),handgrip",N3
刈る,かる,"to cut (hair),to mow (grass),to harvest",N3
彼等,かれら,they (usually male),N3
川,かわ,river,N3
河,かわ,"river,stream",N3
皮,かわ,"skin,hide,leather,fur,pelt,bark,shell",N3
革,かわ,leather,N3
,かわいそう,"poor,pitiable,pathetic",N3
,かわいらしい,"lovely,sweet",N3
缶,かん,"can,tin",N3
勘,かん,"perception,intuition,the sixth sense",N3
考え,かんがえ,"thinking,thought,ideas,intention",N3
感覚,かんかく,"sense,sensation",N3
観客,かんきゃく,"audience,spectator(s)",N3
環境,かんきょう,"environment,circumstance",N3
歓迎,かんげい,"welcome,reception",N3
観光,かんこう,sightseeing,N3
観察,かんさつ,"observation,survey",N3
感じ,かんじ,"feeling,sense,impression",N3
感謝,かんしゃ,"thanks,gratitude",N3
患者,かんじゃ,a patient,N3
勘定,かんじょう,"calculation,counting,consideration",N3
感情,かんじょう,"emotion(s),feeling(s),sentiment",N3
感じる,かんじる,"to feel,to sense,to experience",N3
感心,かんしん,"admiration,Well done!",N3
関心,かんしん,"concern,interest",N3
関する,かんする,"to concern,to be related",N3
完成,かんせい,"(1) complete,completion,(2) perfection,accomplishment",N3
完全,かんぜん,"perfection,completeness",N3
感動,かんどう,"being deeply moved,excitement,impression,deep emotion",N3
監督,かんとく,"supervision,control,superintendence",N3
管理,かんり,"control,management (e.g. of a business)",N3
完了,かんりょう,"completion,conclusion",N3
関連,かんれん,"relation,connection,relevance",N3
議員,ぎいん,"member of the Diet, congress or parliament",N3
記憶,きおく,"memory,recollection,remembrance",N3
気温,きおん,temperature,N3
機械,きかい,"machine,mechanism",N3
議会,ぎかい,"Diet,congress,parliament",N3
期間,きかん,"period,term",N3
機関,きかん,"organ,mechanism,facility,engine",N3
企業,きぎょう,"enterprise,undertaking",N3
効く,きく,to be effective,N3
機嫌,きげん,"humour,temper,mood",N3
気候,きこう,climate,N3
岸,きし,"bank,coast,shore",N3
生地,きじ,birthplace,N3
記事,きじ,"article,news story,report,account",N3
技師,ぎし,"engineer,technician",N3
記者,きしゃ,reporter,N3
傷,きず,"wound,injury,hurt,cut",N3
期待,きたい,"expectation,anticipation,hope",N3
帰宅,きたく,returning home,N3
貴重,きちょう,"precious,valuable",N3
議長,ぎちょう,chairman,N3
,きちんと,"precisely,accurately",N3
,きつい,"tight,close,intense",N3
気付く,きづく,"to notice,to recognize,to become aware of",N3
気に入る,きにいる,"to be pleased with,to suit",N3
記入,きにゅう,"entry,filling in of forms",N3
記念,きねん,"commemoration,memory",N3
機能,きのう,"function,faculty",N3
気の毒,きのどく,"pitiful,a pity",N3
寄付,きふ,"contribution,donation",N3
希望,きぼう,"hope,wish,aspiration",N3
基本,きほん,"foundation,basis,standard",N3
決まり,きまり,"settlement,conclusion,regulation,rule",N3
気味,きみ,"-like,-looking,-looked",N3
奇妙,きみょう,"strange,queer,curious",N3
義務,ぎむ,"duty,obligation,responsibility",N3
疑問,ぎもん,"question,problem,doubt,guess",N3
逆,ぎゃく,"reverse,opposite",N3
,キャプテン,captain,N3
,キャンプ,camp,N3
九,きゅう,nine,N3
旧,きゅう,ex-,N3
級,きゅう,"class, grade, rank,school class, grade",N3
球,きゅう,"globe,sphere,ball",N3
休暇,きゅうか,"holiday,day off,furlough",N3
休憩,きゅうけい,"rest,break,recess,intermission",N3
急激,きゅうげき,"sudden,precipitous,radical",N3
吸収,きゅうしゅう,"absorption,suction,attraction",N3
救助,きゅうじょ,"relief,aid,rescue",N3
急速,きゅうそく,rapid (e.g. progress),N3
急に,きゅうに,,N3
給料,きゅうりょう,"salary,wages",N3
器用,きよう,"skillful,handy",N3
教科書,きょうかしょ,text book,N3
競技,きょうぎ,"game,match,contest",N3
行儀,ぎょうぎ,manners,N3
供給,きょうきゅう,"supply,provision",N3
教師,きょうし,teacher (classroom),N3
教授,きょうじゅ,"teaching,instruction,professor",N3
強調,きょうちょう,"emphasis,stress,stressed point",N3
共通,きょうつう,"commonness,community",N3
共同,きょうどう,"cooperation,association,collaboration,joint",N3
恐怖,きょうふ,"be afraid,dread,dismay,terror",N3
協力,きょうりょく,"cooperation,collaboration",N3
強力,きょうりょく,"herculean strength,mountain carrier-guide",N3
許可,きょか,"permission,approval",N3
局,きょく,"court lady,lady in waiting",N3
巨大,きょだい,"huge,gigantic,enormous",N3
嫌う,きらう,"to hate,to dislike,to loathe",N3
霧,きり,"fog,mist",N3
切れ,きれ,"cloth,piece,cut,chop",N3
切れる,きれる,"(1) to cut well,to be sharp,(2) to break (off)",N3
,キロ,"(abbr) kilo-,kilogram,kilometre,10^3",N3
記録,きろく,"record,minutes,document",N3
議論,ぎろん,"argument,discussion,dispute",N3
金,きん,"(1) gold,(2) gold general (shogi) (abbr)",N3
銀,ぎん,"(1) silver,silver coin,silver paint",N3
禁煙,きんえん,No Smoking!,N3
金額,きんがく,amount of money,N3
金庫,きんこ,"safe,vault,treasury,provider of funds",N3
禁止,きんし,"prohibition,ban",N3
金銭,きんせん,"money,cash",N3
金属,きんぞく,metal,N3
近代,きんだい,present day,N3
緊張,きんちょう,"tension,mental strain,nervousness",N3
筋肉,きんにく,"muscle,sinew",N3
金融,きんゆう,"monetary circulation,credit situation",N3
金曜,きんよう,(abbr) Friday,N3
九,く,nine,N3
句,く,sentence,N3
食う,くう,(male) (vulg) to eat,N3
偶然,ぐうぜん,"(by) chance,unexpectedly,suddenly",N3
臭い,くさい,"odour,scent,smell,stench",N3
鎖,くさり,chain,N3
腐る,くさる,"to rot,to go bad",N3
癖,くせ,"a habit (often a bad habit),peculiarity",N3
管,くだ,"pipe,tube",N3
具体,ぐたい,"concrete,tangible,material",N3
下さる,くださる,"(hon) to give,to confer",N3
下り,くだり,down-train (going away from Tokyo),N3
苦痛,くつう,"pain,agony",N3
,ぐっすり,"sound asleep,fast asleep",N3
区別,くべつ,"distinction,differentiation,classification",N3
組,くみ,"class,group,team,set",N3
